iter	Passed	Remaining
0	0	68
1	1	64
2	1	59
3	2	54
4	3	58
5	3	58
6	4	59
7	5	58
8	5	59
9	6	57
10	7	56
11	7	55
12	8	54
13	8	52
14	9	51
15	9	50
16	10	48
17	10	47
18	11	47
19	11	46
20	12	45
21	12	44
22	13	44
23	13	43
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	31
43	23	30
44	24	29
45	25	29
46	25	28
47	26	28
48	26	28
49	27	27
50	28	26
51	28	26
52	29	25
53	29	25
54	29	24
55	30	23
56	30	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	49	6
89	49	5
90	50	4
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
